"site_id","park_code","park_district","park_name","point_code","point_location","park_acreage"
"AT-100","AT","","Altadena","","",
"AT-200","AT","","Altadena","","",
"AT-400","AT","","Altadena","","",
"AT-800","AT","","Altadena","","",
"AT-C","AT","NE","Altadena","C   ","",
"AT-E","AT","NE","Altadena","E   ","",
"AT-N","AT","NE","Altadena","N   ","",
"AT-NE","AT","","Altadena","NE  ","",
"AT-NW","AT","","Altadena","NW  ","",
"AT-S","AT","NE","Altadena","S   ","",
"AT-SE","AT","","Altadena","SE  ","",
"AT-SW","AT","","Altadena","SW  ","",
"AT-use","AT","NE","Altadena","","",
"AT-W","AT","NE","Altadena","W   ","",
"CA-100","CA","","Cashman","","",
"CA-200","CA","","Cashman","","",
"CA-400","CA","","Cashman","","",
"CA-800","CA","","Cashman","","",
"CA-C","CA","NE","Cashman","C   ","",
"CA-E","CA","NE","Cashman","E   ","",
"CA-N","CA","NE","Cashman","N   ","",
"CA-S","CA","NE","Cashman","S   ","",
"CA-use","CA","NE","Cashman","","",
"CA-W","CA","NE","Cashman","W   ","",
"CG-100","CG","","Country Gables","","",
"CG-200","CG","","Country Gables","","",
"CG-400","CG","","Country Gables","","",
"CG-800","CG","","Country Gables","","",
"CG-C","CG","NW","Country Gables","C   ","",
"CG-E","CG","NW","Country Gables","E   ","",
"CG-N","CG","NW","Country Gables","N   ","",
"CG-S","CG","NW","Country Gables","S   ","",
"CG-SW","CG","","Country Gables","SW  ","",
"CG-use","CG","NE","Country Gables","","",
"CG-W","CG","NW","Country Gables","W   ","",
"CH-100","CH","","Cholla Cove","","",
"CH-200","CH","","Cholla Cove","","",
"CH-400","CH","","Cholla Cove","","",
"CH-800","CH","","Cholla Cove","","",
"CH-C","CH","NE","Cholla Cove","C   ","",
"CH-E","CH","NE","Cholla Cove","E   ","",
"CH-N","CH","NE","Cholla Cove","N   ","",
"CH-NE","CH","","Cholla Cove","NE  ","",
"CH-NW","CH","","Cholla Cove","NW  ","",
"CH-S","CH","NE","Cholla Cove","S   ","",
"CH-SE","CH","","Cholla Cove","SE  ","",
"CH-SW","CH","","Cholla Cove","SW  ","",
"CH-use","CH","NE","Cholla Cove","","",
"CH-W","CH","NE","Cholla Cove","W   ","",
"DW-C","DW","NE","Desert Willow","C   ","",
"DW-E","DW","NE","Desert Willow","E   ","",
"DW-N","DW","NE","Desert Willow","N   ","",
"DW-S","DW","NE","Desert Willow","S   ","",
"DW-W","DW","NE","Desert Willow","W   ","",
"EA-100","EA","","Eastlake","","",
"EA-200","EA","","Eastlake","","",
"EA-400","EA","","Eastlake","","",
"EA-800","EA","","Eastlake","","",
"EA-C","EA","","Eastlake","C   ","",
"EA-E","EA","","Eastlake","E   ","",
"EA-N","EA","","Eastlake","N   ","",
"EA-NE","EA","","Eastlake","NE  ","",
"EA-NW","EA","","Eastlake","NW  ","",
"EA-S","EA","","Eastlake","S   ","",
"EA-SE","EA","","Eastlake","SE  ","",
"EA-SW","EA","","Eastlake","SW  ","",
"EA-use","EA","NE","Eastlake","","",
"EA-W","EA","","Eastlake","W   ","",
"ED-100","ED","","Edison","","",
"ED-200","ED","","Edison","","",
"ED-400","ED","","Edison","","",
"ED-800","ED","","Edison","","",
"ED-C","ED","","Edison","C   ","",
"ED-E","ED","","Edison","E   ","",
"ED-N","ED","","Edison","N   ","",
"ED-NE","ED","","Edison","NE  ","",
"ED-NW","ED","","Edison","NW  ","",
"ED-S","ED","","Edison","S   ","",
"ED-SE","ED","","Edison","SE  ","",
"ED-SW","ED","","Edison","SW  ","",
"ED-use","ED","","Edison","","",
"ED-W","ED","","Edison","W   ","",
"HA-use","HA","","Harmon","","",
"HR-100","HR","","Harmon","","",
"HR-200","HR","","Harmon","","",
"HR-400","HR","","Harmon","","",
"HR-800","HR","","Harmon","","",
"HR-C","HR","","Harmon","C   ","",
"HR-E","HR","","Harmon","E   ","",
"HR-N","HR","","Harmon","N   ","",
"HR-NE","HR","","Harmon","NE  ","",
"HR-NW","HR","","Harmon","NW  ","",
"HR-S","HR","","Harmon","S   ","",
"HR-SE","HR","","Harmon","SE  ","",
"HR-SW","HR","","Harmon","SW  ","",
"HR-W","HR","","Harmon","W   ","",
"HY-100","HY","","Hayden","","",
"HY-200","HY","","Hayden","","",
"HY-400","HY","","Hayden","","",
"HY-800","HY","","Hayden","","",
"HY-C","HY","","Hayden","C   ","",
"HY-E","HY","","Hayden","E   ","",
"HY-N","HY","","Hayden","N   ","",
"HY-NE","HY","","Hayden","NE  ","",
"HY-NW","HY","","Hayden","NW  ","",
"HY-S","HY","","Hayden","S   ","",
"HY-SE","HY","","Hayden","SE  ","",
"HY-SW","HY","","Hayden","SW  ","",
"HY-use","HY","","Hayden","","",
"HY-W","HY","","Hayden","W   ","",
"LI-100","LI","","Lindo","","",
"LI-200","LI","","Lindo","","",
"LI-400","LI","","Lindo","","",
"LI-800","LI","","Lindo","","",
"LI-C","LI","","Lindo","C   ","",
"LI-E","LI","","Lindo","E   ","",
"LI-N","LI","","Lindo","N   ","",
"LI-NE","LI","","Lindo","NE  ","",
"LI-NW","LI","","Lindo","NW  ","",
"LI-PM1","LI","SW","Lindo","","",
"LI-S","LI","","Lindo","S   ","",
"LI-SE","LI","","Lindo","SE  ","",
"LI-SW","LI","","Lindo","SW  ","",
"Li-use","Li","","Lindo","","",
"LI-W","LI","","Lindo","W   ","",
"LO-C","LO","","Los Olivos","C   ","",
"LO-E","LO","","Los Olivos","E   ","",
"LO-N","LO","","Los Olivos","N   ","",
"LO-S","LO","","Los Olivos","S   ","",
"LO-W","LO","","Los Olivos","W   ","",
"NU-100","NU","","Nueve","","",
"NU-200","NU","","Nueve","","",
"NU-400","NU","","Nueve","","",
"NU-800","NU","","Nueve","","",
"NU-C","NU","","Nueve","C   ","",
"NU-E","NU","","Nueve","E   ","",
"NU-N","NU","","Nueve","N   ","",
"NU-NE","NU","","Nueve","NE  ","",
"NU-NW","NU","","Nueve","NW  ","",
"NU-S","NU","","Nueve","S   ","",
"NU-SE","NU","","Nueve","SE  ","",
"NU-SW","NU","","Nueve","SW  ","",
"NU-use","NU","","Nueve","","",
"NU-W","NU","","Nueve","W   ","",
"OR-100","OR","","Orme","","",
"OR-200","OR","","Orme","","",
"OR-400","OR","","Orme","","",
"OR-800","OR","","Orme","","",
"OR-C","OR","","Orme","C   ","",
"OR-E","OR","","Orme","E   ","",
"OR-N","OR","","Orme","N   ","",
"OR-NE","OR","","Orme","NE  ","",
"OR-NW","OR","","Orme","NW  ","",
"OR-S","OR","","Orme","S   ","",
"OR-SE","OR","","Orme","SE  ","",
"OR-SW","OR","","Orme","SW  ","",
"OR-use","OR","","Orme","","",
"OR-W","OR","","Orme","W   ","",
"PA-100","PA","","Palomino","","",
"PA-200","PA","","Palomino","","",
"PA-400","PA","","Palomino","","",
"PA-800","PA","","Palomino","","",
"PA-C","PA","NE","Palomino","C   ","",
"PA-E","PA","NE","Palomino","E   ","",
"PA-N","PA","NE","Palomino","N   ","",
"PA-S","PA","NE","Palomino","S   ","",
"PA-SW","PA","","Palomino","SW  ","",
"PA-use","PA","","Palomino","","",
"PA-W","PA","NE","Palomino","W   ","",
"SO-100","SO","","Sonrisa","","",
"SO-200","SO","","Sonrisa","","",
"SO-400","SO","","Sonrisa","","",
"SO-800","SO","","Sonrisa","","",
"SO-C","SO","NE","Sonrisa","C   ","",
"SO-E","SO","NE","Sonrisa","E   ","",
"SO-N","SO","NE","Sonrisa","N   ","",
"SO-NE","SO","","Sonrisa","NE  ","",
"SO-NW","SO","","Sonrisa","NW  ","",
"SO-S","SO","NE","Sonrisa","S   ","",
"SO-SE","SO","","Sonrisa","SE  ","",
"SO-SW","SO","","Sonrisa","SW  ","",
"SO-use","SO","","Sonrisa","","",
"SO-W","SO","NE","Sonrisa","W   ","",
"WF-use","WF","","Werner's Field","","",
"WR-100","WR","","Werner's Field Park","","",
"WR-200","WR","","Werner's Field Park","","",
"WR-400","WR","","Werner's Field Park","","",
"WR-800","WR","","Werner's Field Park","","",
"WR-C","WR","NW","Werner's Field Park","C   ","",
"WR-E","WR","NW","Werner's Field Park","E   ","",
"WR-N","WR","NW","Werner's Field Park","N   ","",
"WR-S","WR","NW","Werner's Field Park","S   ","",
"WR-SW","WR","","Werner's Field Park","SW  ","",
"WR-W","WR","NW","Werner's Field Park","W   ","",
"WS-100","WS","","Western Star","","",
"WS-200","WS","","Western Star","","",
"WS-400","WS","","Western Star","","",
"WS-800","WS","","Western Star","","",
"WS-C","WS","SE","Western Star","C   ","",
"WS-E","WS","SE","Western Star","E   ","",
"WS-N","WS","SE","Western Star","N   ","",
"WS-NE","WS","","Western Star","NE  ","",
"WS-NW","WS","","Western Star","NW  ","",
"WS-PM1","WS","SE","Western Star","","",
"WS-PM2","WS","SE","Western Star","","",
"WS-S","WS","SE","Western Star","S   ","",
"WS-SE","WS","","Western Star","SE  ","",
"WS-SW","WS","","Western Star","SW  ","",
"WS-use","WS","","Western Star","","",
"WS-W","WS","SE","Western Star","W   ","",
"WT-100","WT","","Westown","","",
"WT-200","WT","","Westown","","",
"WT-400","WT","","Westown","","",
"WT-800","WT","","Westown","","",
"WT-C","WT","NW","Westown","C   ","",
"WT-E","WT","NW","Westown","E   ","",
"WT-N","WT","NW","Westown","N   ","",
"WT-S","WT","NW","Westown","S   ","",
"WT-SW","WT","","Westown","SW  ","",
"WT-use","WT","","Westown","","",
"WT-W","WT","NW","Westown","W   ","",
